Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Libya,LBY,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,3.773584843
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.697565734
Syrian Arab Republic,SYR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,3.773584843
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.480682313
Tajikistan,TJK,Voice and Accountability: Percentile Rank,VA.PER.RNK,3.864734411
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.797183931
Armenia,ARM,Voice and Accountability: Estimate,VA.EST,0.08823394
Burundi,BDI,Control of Corruption: Percentile Rank,CC.PER.RNK,4.245283127
Armenia,ARM,Control of Corruption: Estimate,CC.EST,0.028035237
Central African Republic,CAF,Government Effectiveness: Percentile Rank,GE.PER.RNK,4.245283127
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.314229518
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,4.245283127
"Congo, Dem. Rep.",COD,Rule of Law: Percentile Rank,RL.PER.RNK,4.245283127
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,-0.019078802
"Iran, Islamic Rep.",IRN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,4.245283127
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.168567225
Equatorial Guinea,GNQ,Voice and Accountability: Percentile Rank,VA.PER.RNK,4.347826004
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.474684358
Aruba,ABW,Voice and Accountability: Estimate,VA.EST,1.009181976
Chad,TCD,Control of Corruption: Percentile Rank,CC.PER.RNK,4.716980934
Aruba,ABW,Control of Corruption: Estimate,CC.EST,0.756784737
Ethiopia,ETH,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,4.716980934
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.105333328
"Korea, Dem. People's Rep.",PRK,Rule of Law: Percentile Rank,RL.PER.RNK,4.716980934
Sudan,SDN,Government Effectiveness: Percentile Rank,GE.PER.RNK,4.716980934
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,0.967042565
Sudan,SDN,Regulatory Quality: Percentile Rank,RQ.PER.RNK,4.716980934
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.278907537
Lao PDR,LAO,Voice and Accountability: Percentile Rank,VA.PER.RNK,4.830917835
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.933572054
Australia,AUS,Voice and Accountability: Estimate,VA.EST,1.319480419
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,5.188679218
Australia,AUS,Control of Corruption: Estimate,CC.EST,1.764489532
Equatorial Guinea,GNQ,Regulatory Quality: Percentile Rank,RQ.PER.RNK,5.188679218
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.528874636
Haiti,HTI,Control of Corruption: Percentile Rank,CC.PER.RNK,5.188679218
Sudan,SDN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.188679218
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.894893289
"Venezuela, RB",VEN,Government Effectiveness: Percentile Rank,GE.PER.RNK,5.188679218
Australia,AUS,Rule of Law: Estimate,RL.EST,1.510085225
Belarus,BLR,Voice and Accountability: Percentile Rank,VA.PER.RNK,5.314009666
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.637995362
Austria,AUT,Voice and Accountability: Estimate,VA.EST,1.408760786
"Congo, Dem. Rep.",COD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,5.660377502
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.258619428
Myanmar,MMR,Government Effectiveness: Percentile Rank,GE.PER.RNK,5.660377502
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.465450168
Myanmar,MMR,Rule of Law: Percentile Rank,RL.PER.RNK,5.660377502
Turkmenistan,TKM,Control of Corruption: Percentile Rank,CC.PER.RNK,5.660377502
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.283199787
Ukraine,UKR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.660377502
Austria,AUT,Rule of Law: Estimate,RL.EST,1.705850244
"Yemen, Rep.",YEM,Voice and Accountability: Percentile Rank,VA.PER.RNK,5.797101498
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.931885719
Azerbaijan,AZE,Voice and Accountability: Estimate,VA.EST,-1.440835834
Central African Republic,CAF,Regulatory Quality: Percentile Rank,RQ.PER.RNK,6.13207531
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-1.040572286
Comoros,COM,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.13207531
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.040657915
"Congo, Dem. Rep.",COD,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,6.13207531
Tajikistan,TJK,Control of Corruption: Percentile Rank,CC.PER.RNK,6.13207531
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.103344202
Turkmenistan,TKM,Rule of Law: Percentile Rank,RL.PER.RNK,6.13207531
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.624645591
China,CHN,Voice and Accountability: Percentile Rank,VA.PER.RNK,6.280193329
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.883432567
"Bahamas, The",BHS,Voice and Accountability: Estimate,VA.EST,0.869135797
Guinea-Bissau,GNB,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.603773594
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.256189942
Guinea-Bissau,GNB,Rule of Law: Percentile Rank,RL.PER.RNK,6.603773594
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.424218327
Pakistan,PAK,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,6.603773594
Sudan,SDN,Control of Corruption: Percentile Rank,CC.PER.RNK,6.603773594
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,-0.146485969
Zimbabwe,ZWE,Regulatory Quality: Percentile Rank,RQ.PER.RNK,6.603773594
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.133635864
"Venezuela, RB",VEN,Voice and Accountability: Percentile Rank,VA.PER.RNK,6.76328516
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.407028496
Bahrain,BHR,Voice and Accountability: Estimate,VA.EST,-1.417561769
"Congo, Rep.",COG,Control of Corruption: Percentile Rank,CC.PER.RNK,7.075471878
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,0.139385641
Cuba,CUB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,7.075471878
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.640424907
Equatorial Guinea,GNQ,Rule of Law: Percentile Rank,RL.PER.RNK,7.075471878
"Korea, Dem. People's Rep.",PRK,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.075471878
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,0.970633507
West Bank and Gaza,PSE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,7.075471878
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.438828617
Sudan,SDN,Voice and Accountability: Percentile Rank,VA.PER.RNK,7.246376991
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.092371106
Bangladesh,BGD,Voice and Accountability: Estimate,VA.EST,-0.752661884
Belarus,BLR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,7.547169685
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-1.07552731
Haiti,HTI,Rule of Law: Percentile Rank,RL.PER.RNK,7.547169685
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.762551904
Lebanon,LBN,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.547169685
Nicaragua,NIC,Control of Corruption: Percentile Rank,CC.PER.RNK,7.547169685
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.927658916
Nigeria,NGA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,7.547169685
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.60133934
Saudi Arabia,SAU,Voice and Accountability: Percentile Rank,VA.PER.RNK,7.729468822
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.15202713
Barbados,BRB,Voice and Accountability: Estimate,VA.EST,1.128645539
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,8.018867493
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.284573436
Chad,TCD,Rule of Law: Percentile Rank,RL.PER.RNK,8.018867493
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,0.428703636
Eritrea,ERI,Control of Corruption: Percentile Rank,CC.PER.RNK,8.018867493
Guinea-Bissau,GNB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.018867493
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.476500303
Liberia,LBR,Government Effectiveness: Percentile Rank,GE.PER.RNK,8.018867493
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.358760208
Chad,TCD,Voice and Accountability: Percentile Rank,VA.PER.RNK,8.212560654
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.793873549
Belarus,BLR,Voice and Accountability: Estimate,VA.EST,-1.626395226
Chad,TCD,Government Effectiveness: Percentile Rank,GE.PER.RNK,8.490566254
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.579676211
Comoros,COM,Rule of Law: Percentile Rank,RL.PER.RNK,8.490566254
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-0.851105094
Haiti,HTI,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.490566254
"Iran, Islamic Rep.",IRN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,8.490566254
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-1.33121407
Zimbabwe,ZWE,Control of Corruption: Percentile Rank,CC.PER.RNK,8.490566254
Belarus,BLR,Rule of Law: Estimate,RL.EST,-1.221556544
"Iran, Islamic Rep.",IRN,Voice and Accountability: Percentile Rank,VA.PER.RNK,8.695652008
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.575668812
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,1.292608738
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.962264061
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.495048642
Central African Republic,CAF,Control of Corruption: Percentile Rank,CC.PER.RNK,8.962264061
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.227658749
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,8.962264061
"Congo, Rep.",COG,Government Effectiveness: Percentile Rank,GE.PER.RNK,8.962264061
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.252955198
Nicaragua,NIC,Rule of Law: Percentile Rank,RL.PER.RNK,8.962264061
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.348942399
"Egypt, Arab Rep.",EGY,Voice and Accountability: Percentile Rank,VA.PER.RNK,9.178744316
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.426349759
Belize,BLZ,Voice and Accountability: Estimate,VA.EST,0.532865047
Bolivia,BOL,Rule of Law: Percentile Rank,RL.PER.RNK,9.433961868
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.237028584
Comoros,COM,Control of Corruption: Percentile Rank,CC.PER.RNK,9.433961868
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.356178641
"Congo, Rep.",COG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.433961868
Iraq,IRQ,Government Effectiveness: Percentile Rank,GE.PER.RNK,9.433961868
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,-0.43876633
Lebanon,LBN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,9.433961868
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.720759094
Azerbaijan,AZE,Voice and Accountability: Percentile Rank,VA.PER.RNK,9.66183567
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.349461377
Benin,BEN,Voice and Accountability: Estimate,VA.EST,-0.348290831
Burundi,BDI,Rule of Law: Percentile Rank,RL.PER.RNK,9.905660629
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.124255605
Cambodia,KHM,Control of Corruption: Percentile Rank,CC.PER.RNK,9.905660629
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.164296001
Equatorial Guinea,GNQ,Government Effectiveness: Percentile Rank,GE.PER.RNK,9.905660629
Myanmar,MMR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.905660629
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.348364651
Niger,NER,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,9.905660629
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.602389514
Bahrain,BHR,Voice and Accountability: Percentile Rank,VA.PER.RNK,10.14492798
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.034533978
Bermuda,BMU,Voice and Accountability: Estimate,VA.EST,..
Bolivia,BOL,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.37735844
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,1.27020359
Burundi,BDI,Government Effectiveness: Percentile Rank,GE.PER.RNK,10.37735844
Bermuda,BMU,Government Effectiveness: Estimate,GE.EST,1.219509363
Haiti,HTI,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,10.37735844
Kyrgyz Republic,KGZ,Control of Corruption: Percentile Rank,CC.PER.RNK,10.37735844
Bermuda,BMU,Regulatory Quality: Estimate,RQ.EST,0.972116888
Sudan,SDN,Rule of Law: Percentile Rank,RL.PER.RNK,10.37735844
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.692453921
Burundi,BDI,Voice and Accountability: Percentile Rank,VA.PER.RNK,10.62801933
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.864817739
Bhutan,BTN,Voice and Accountability: Estimate,VA.EST,0.155555993
Cameroon,CMR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,10.84905624
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,1.514259338
Comoros,COM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.84905624
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.556007385
Iraq,IRQ,Control of Corruption: Percentile Rank,CC.PER.RNK,10.84905624
Tajikistan,TJK,Rule of Law: Percentile Rank,RL.PER.RNK,10.84905624
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-0.381970435
Zimbabwe,ZWE,Government Effectiveness: Percentile Rank,GE.PER.RNK,10.84905624
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.672034562
Libya,LBY,Voice and Accountability: Percentile Rank,VA.PER.RNK,11.11111069
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.283260942
Bolivia,BOL,Voice and Accountability: Estimate,VA.EST,-0.198109388
Guatemala,GTM,Control of Corruption: Percentile Rank,CC.PER.RNK,11.320755
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.889222622
Mali,MLI,Government Effectiveness: Percentile Rank,GE.PER.RNK,11.320755
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.563976765
Mozambique,MOZ,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,11.320755
Tajikistan,TJK,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.320755
Bolivia,BOL,Regulatory Quality: Estimate,RQ.EST,-1.210536242
Zimbabwe,ZWE,Rule of Law: Percentile Rank,RL.PER.RNK,11.320755
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.300902247
Nicaragua,NIC,Voice and Accountability: Percentile Rank,VA.PER.RNK,11.594203
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.43937102
Bosnia and Herzegovina,BIH,Voice and Accountability: Estimate,VA.EST,-0.325712889
Belarus,BLR,Rule of Law: Percentile Rank,RL.PER.RNK,11.79245281
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.683835208
Guinea-Bissau,GNB,Control of Corruption: Percentile Rank,CC.PER.RNK,11.79245281
Bosnia and Herzegovina,BIH,Government Effectiveness: Estimate,GE.EST,-1.064426422
Iraq,IRQ,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.79245281
Israel,ISR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,11.79245281
Bosnia and Herzegovina,BIH,Regulatory Quality: Estimate,RQ.EST,-0.157615319
Sierra Leone,SLE,Government Effectiveness: Percentile Rank,GE.PER.RNK,11.79245281
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.306685209
Cuba,CUB,Voice and Accountability: Percentile Rank,VA.PER.RNK,12.07729435
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.077516079
Botswana,BWA,Voice and Accountability: Estimate,VA.EST,0.446497649
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,12.26415062
Botswana,BWA,Control of Corruption: Estimate,CC.EST,0.661455095
Nigeria,NGA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,12.26415062
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.463997155
Russian Federation,RUS,Rule of Law: Percentile Rank,RL.PER.RNK,12.26415062
Turkmenistan,TKM,Government Effectiveness: Percentile Rank,GE.PER.RNK,12.26415062
Botswana,BWA,Regulatory Quality: Estimate,RQ.EST,0.621043563
"Venezuela, RB",VEN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,12.26415062
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.467351377
Uzbekistan,UZB,Voice and Accountability: Percentile Rank,VA.PER.RNK,12.56038666
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3314659
Brazil,BRA,Voice and Accountability: Estimate,VA.EST,0.214864358
Bosnia and Herzegovina,BIH,Government Effectiveness: Percentile Rank,GE.PER.RNK,12.73584938
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.566063046
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,12.73584938
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.587532163
Chad,TCD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,12.73584938
Kyrgyz Republic,KGZ,Rule of Law: Percentile Rank,RL.PER.RNK,12.73584938
Brazil,BRA,Regulatory Quality: Estimate,RQ.EST,-0.220437631
